Work_ID,Work_Name,Movement_Name,Track Title
5863,"Flight of the Bumblebee, TN iii/9 (After N. Rimsky-Korsakov)",,
5867,The Snow Maiden Suite,I. Introduction,
5967,Stabat Mater,"V. Eja, Mater, fons amoris",
5970,Il barbiere di Siviglia,Una voce poco fa,
5994,"Piano Concerto No. 4 in D Minor, Op. 70",II. Andante,
6006,13 Postludes for Piano,"No. 5, Berceuse",
6033,"Violin Sonata No. 1 in D Minor, Op. 75, R. 123",II. Allegretto moderato,
6141,"Keyboard Sonata in D Minor, Kk. 9",,
6155,"Keyboard Sonata in G Major, Kk. 14",,
6220,Paduana Lachrymae (After J. Dowland),,
6284,"Piano Trio No. 1 in B-Flat Major, Op. 99, D. 898",I. Allegro moderato,
6291,"6 Moments musicaux, Op. 94, D. 780","No. 5, Allegro vivace",
6292,"4 Impromptus, Op. 142, D. 935",No. 4 in F Minor,
6298,"String Trio in B-Flat Major, D. 581",IV. Rondo. Allegretto,
6301,"Piano Sonata No. 19 in C Minor, D. 958",I. Allegro,
6305,"Die junge Nonne, Op. 43 No. 1, D. 828",,
6307,"Im Frühling, Op. 101 No. 1, D. 882",,
6321,"Piano Sonata No. 14 in A Minor, Op. 143, D. 784",II. Andante,
6322,"Piano Sonata No. 18 in G Major, Op. 78, D. 894",IV. Allegretto,
6401,"Fantasiestücke, Op. 12","No. 3, Warum?",
6401,"Fantasiestücke, Op. 12","No. 4, Grillen",
6401,"Fantasiestücke, Op. 12","No. 2, Aufschwung",
6401,"Fantasiestücke, Op. 12","No. 7, Traumes Wirren",
6404,"Fantasiestücke, Op. 73","No. 3, Rasch und mit Feuer",
6411,"Bunte Blätter, Op. 99, 3 Stücklein","No. 1, Nicht schnell, mit Innigkeit",
6413,"Nachtstücke, Op. 23","No. 2, Markiert und lebhaft (Kuriose Gesellschaft)",
6413,"Nachtstücke, Op. 23","No. 4, Ad libitum - Einfach (Rundgesang mit Solostimmen)",
6416,"Faschingsschwank aus Wien, Op. 26",V. Finale,
6416,"Faschingsschwank aus Wien, Op. 26",IV. Intermezzo,
6417,"Carnaval, Op. 9","No. 18, Aveu",
6417,"Carnaval, Op. 9","No. 20, Pause",
6417,"Carnaval, Op. 9","No. 7, Coquette",
6417,"Carnaval, Op. 9","No. 1, Préambule",
6417,"Carnaval, Op. 9","No. 6, Florestan",
6417,"Carnaval, Op. 9","No. 9, Papillons",
6417,"Carnaval, Op. 9","No. 16, Valse allemande",
6417,"Carnaval, Op. 9","No. 21, Marche des Davidsbündler contre les Philistins",
6418,"Kinderszenen, Op. 15","No. 7, Träumerei",
6418,"Kinderszenen, Op. 15","No. 3, Hasche-Mann",
6418,"Kinderszenen, Op. 15","No. 4, Bittendes Kind",
6418,"Kinderszenen, Op. 15","No. 2, Curiose Geschichte",
6418,"Kinderszenen, Op. 15","No. 6, Wichtige Begebenheit",
6418,"Kinderszenen, Op. 15","No. 12, Kind im Einschlummern",
6418,"Kinderszenen, Op. 15","No. 9, Ritter vom Steckenpferd",
6418,"Kinderszenen, Op. 15","No. 1, Von fremden Ländern und Menschen",
6421,"Albumblätter, Op. 124","No. 13, Larghetto",
6421,"Albumblätter, Op. 124","No. 18, Botschaft",
